products	reactants	set
Cc1onc(-c2ccccc2)c1-c1ccc(S(=O)(=O)O)cc1	Cc1onc(-c2ccccc2)c1-c1ccc(S(=O)O)cc1	train
CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1nc(C(=O)O)c3ccccc3n1)c(=O)n2C	CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	train
CNC(=C[N+](=O)[O-])NCCSCc1ccc(C[N+](C)(C)[O-])o1	CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1	train
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)O)CC3	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)O)CC3	train
CC12C=CC(=O)C=C1C(O)CC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	train
NC(=O)N1c2ccccc2C=C(OS(=O)(=O)O)c2ccccc21	NC(=O)N1c2ccccc2CC(=O)c2ccccc21	train
COc1cc2nc(N3CCNCC3)nc(N)c2cc1OC	COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC	train
COc1cc(O)c(N)c(C(=O)Nc2ccc(Cl)cn2)c1	COc1ccc(N)c(C(=O)Nc2ccc(Cl)cn2)c1	train
NCCS(N)(=O)=O	O=S1(=O)CCNCN1	train
COc1ccc(CN2CCN(C=O)CC2)c(OC)c1OC	COc1ccc(CN2CCNCC2)c(OC)c1OC	train
O=C1Nc2ccc([N+](=O)[O-])cc2C(c2ccccc2Cl)=NC1OC1OC(C(=O)O)C(O)C(O)C1O	O=C1Nc2ccc([N+](=O)[O-])cc2C(c2ccccc2Cl)=NC1O	train
CC12CCC(S(=O)(=O)O)CC1C1CC1C1C2CCC2(C)C1C1CC1C21CCC(=O)O1	CC12CCC(=O)C=C1C1CC1C1C2CCC2(C)C1C1CC1C21CCC(=O)O1	train
Cn1nnc(-c2ccc(-c3ccc(NCC(=O)O)cc3F)cn2)n1	Cn1nnc(-c2ccc(-c3ccc(N4CC(C(=O)O)OC4=O)cc3F)cn2)n1	train
CC(O)C(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1	CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1	train
CSC1CC2=CC(O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12	CSC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12	train
Cc1c(Cl)c(C)[n+]([O-])c(Cl)c1-c1noc(-c2cc(OS(=O)(=O)O)c(O)c([N+](=O)[O-])c2)n1	Cc1c(Cl)c(C)[n+]([O-])c(Cl)c1-c1noc(-c2cc(O)c(O)c([N+](=O)[O-])c2)n1	train
CC#CCn1c(N2CCCC(NC(C)=O)C2O)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	CC#CCn1c(N2CCCC(NC(C)=O)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	train
Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2C(CCCO)CNC(=O)C(O)O	C=CC(=O)NCC(CCCO)n1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21	train
CC(C)CC1(CC(O)CO)C(=O)NC(=O)NC1=O	C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O	train
Oc1ccc2c3c1OC1C(O)CCC4(O)C(C2)N(CC2CC2)CCC314	O=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5	train
CC1(C)OC2C3OC(C)(CO)OC3COC2(COS(N)(=O)=O)O1	CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1	train
COc1cc(C(C)O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1	COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1	train
[OH2+][Pt]1(Cl)NC2CCCCC2N1	Cl[Pt]1(Cl)NC2CCCCC2N1	train
CC12CCC3C(CCC4CC(OC5OC(C(=O)O)C(O)C(O)C5O)CCC43C)C1CCC2O	CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O	train
CC12C=CC(=O)C=C1C(O)CC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO	CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO	train
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(O)CO	CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	train
CC(O)CC(=O)O	CCCCCCC(=O)O	train
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(O)CO	CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	train
CC12C=CC(=O)C=C1C(O)CC1C2C(O)CC2(C)C1CCC2(O)C(O)CO	CC12C=CC(=O)C=C1C(O)CC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO	train
CC=CC(CCC)C(=O)O	CCCC(CCC)C(=O)O	train
CC(CCc1ccccc1)NCC(O)c1cc(OC2OC(C(=O)O)C(O)C(O)C2O)c(O)c(C(N)=O)c1	CC(CCc1ccccc1)NCC(O)c1cc(O)c(O)c(C(N)=O)c1	train
CC1CCC2C(C)C(O)OC3OC4(C)CCC1C32OO4	CC1CCC2C(C)C(OC(=O)CCC(=O)O)OC3OC4(C)CCC1C32OO4	train
CCn1c(C(C)O)nn(CCC(=O)O)c1=O	CCn1c(C(C)O)nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c1=O	train
C#CC1(O)CCC2C3CC(O)C4=CCCCC4C3C(=C)CC21CC	C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC	train
CNCCCN1c2ccccc2Sc2ccc(Cl)cc21	CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21	train
C=CC(=O)NCC(CCC(=O)O)n1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21	C=CC(=O)NCC(CCC(=O)O)n1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21	train
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3=O)cc2)cc1Nc1nccc(-c2cccnc2)n1	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1	train
c1cncc(C2CCCN2)c1	CN1C(=O)CCC1c1cccnc1	train
O=C(CSc1ccncc1)NC1C(=O)N2C(C(=O)O)=C(CO)CSC12	CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CSc3ccncc3)C2SC1	train
CC12CCC3C(CC=C4CC(OC5OC(C(=O)O)C(O)C(O)C5O)CCC43C)C1CCC2=O	CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O	train
O=C(O)Cc1ccccc1	NNCCc1ccccc1	train
C=C1CC2C3CCC4CC(=O)CCC4C3CCC2(C)C1(OC(C)=O)C(C)O	C=C1CC2C3CCC4=CC(=O)CCC4C3CCC2(C)C1(OC(C)=O)C(C)=O	train
NC(Cc1ccc(N(CCO)CCO)cc1)C(=O)O	NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O	train
Cc1c(NC=O)c(=O)n(-c2ccccc2)n1C	CNc1c(C)n(C)n(-c2ccccc2)c1=O	train
CC(=O)NC1CCCN(c2nc3c(c(=O)n(Cc4nc(C)c5ccccc5n4)c(=O)n3C)n2CC#CCO)C1	Cc1nc(Cn2c(=O)c3c(nc(N4CCCC(N)C4)n3CC#CCO)n(C)c2=O)nc2ccccc12	train
NCCc1ccc(OS(=O)(=O)O)c(O)c1	NCCc1ccc(O)c(O)c1	train
CC1COc2c(N3CCNCC3)c(F)cc3c(=O)c(C(=O)O)cn1c23	CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23	train
NC(=O)N1c2ccccc2C=Cc2cc(O)ccc21	NC(=O)N1C2=CC3OC3C=C2C=Cc2ccccc21	train
Cc1c(=O)n(C)c(Nc2ccc(I)cc2F)c2c(=O)n(C3CC3)c(=O)n(-c3ccc(OC4OC(C(=O)O)C(O)C(O)C4O)c(N)c3)c12	Cc1c(=O)n(C)c(Nc2ccc(I)cc2F)c2c(=O)n(C3CC3)c(=O)n(-c3ccc(O)c(N)c3)c12	train
Cc1cc(O)cc(C)c1NC(=O)C1CCCCN1	Cc1cccc(C)c1NC(=O)C1CCCCN1	train
C=C1CC2C3CCC4=CC(=O)CCC4C3CCC2(C)C1O	C=C1CC2C3CCC4=CC(=O)CCC4C3CCC2(C)C1(OC(C)=O)C(C)=O	train
O=C(O)CCCC=CCC1C(O)CC(O)C1C=CC(F)(F)COc1ccccc1	CC(C)OC(=O)CCCC=CCC1C(O)CC(O)C1C=CC(F)(F)COc1ccccc1	train
COC(=O)C(c1ccccc1)C1CCCCN1	COC(=O)C(c1ccccc1)C1CCCCN1C(=O)OC[n+]1cccc(C(=O)NC(CO)C(=O)[O-])c1	train
NC1(c2ccccc2Cl)CCC(O)CC1=O	CNC1(c2ccccc2Cl)CCC(O)CC1=O	train
