products	reactants	set
NCCc1ccc(O)c(OS(=O)(=O)O)c1	NCCc1ccc(O)c(O)c1	train
CC(=O)O[C@]1(C(C)=O)CC(O)[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)C5CC5[C@]4(C)[C@H]3CC[C@@]21C	CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C	train
CC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1	O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl	train
CC(N)Cc1ccc(O)cc1	CN[C@@H](C)Cc1ccccc1	train
COc1ccc(Br)c(OC)c1C(=O)NC[C@@H]1CCCN1	CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC	train
O=C(O)c1cn[nH]c1	Cc1cn[nH]c1	train
O=C1O[C@H]([C@@H](O)CO)C(=O)C1=O	O=C1O[C@H]([C@@H](O)CO)C(O)=C1O	train
COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(C)cc(OC)c1C2=O	COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O	train
CNC(C)(C)Cc1ccccc1	CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)Cc1ccccc1)C(C)(C)Cc1ccccc1	train
CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O	CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC	train
CC(CCc1ccccc1)n1ccc2cc(O)c(O)c(C(N)=O)c21	CC(CCc1ccccc1)NCC(O)c1cc(O)c(O)c(C(N)=O)c1	train
c1ccc2c(N3CCNCC3)nsc2c1	O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1	train
O=C(O)C(O)COc1cccc2ccccc12	CC(C)NCC(O)COc1cccc2ccccc12	train
