products	reactants	set
C#CC1(OS(=O)(=O)O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC	C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC	train
C#CC1(O)CC(O)C2C3CCC4=CCCCC4C3C(=C)CC21CC	C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC	train
C#CC1(O)CCC2C3CCC4=CC(O)CCC4C3C(=C)CC21CC	C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC	train
C#CC1(O)CCC2C3CCC4=CCC(O)CC4C3C(=C)C(CC)C21	C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC	train
C[N+](C)([O-])CCc1c[nH]c2ccc(CC3COC(=O)N3)cc12	CN(C)CCc1c[nH]c2ccc(CC3COC(=O)N3)cc12	train
CNCCc1c[nH]c2ccc(CC3COC(=O)N3)cc12	CN(C)CCc1c[nH]c2ccc(CC3COC(=O)N3)cc12	train
COc1ccc2c3c1OC1C(O)C=CC4C(C2)NCCC341	COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341	train
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5	COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341	train
COc1ccc2c3c1OC1C(OC4OC(C(=O)O)C(O)C(O)C4O)C=CC4C(C2)N(C)CCC341	COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341	train
CNCCC=C1c2ccccc2CCc2ccccc21	CN(C)CCC=C1c2ccccc2CCc2ccccc21	train
CN(C)CCC=C1c2ccccc2CC(O)c2ccccc21	CN(C)CCC=C1c2ccccc2CCc2ccccc21	train
CNCCC=C1c2ccccc2CC(O)c2ccccc21	CNCCC=C1c2ccccc2CCc2ccccc21	train
NCCC=C1c2ccccc2CCc2ccccc21	CNCCC=C1c2ccccc2CCc2ccccc21	train
O=c1[nH]cc(F)c(=O)[nH]1	O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F	train
CN1CCC23c4c5ccc(OC6OC(C(=O)O)C(O)C(O)C6O)c4OC2C(=O)CCC3C1C5	CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5	train
O=C1CCC2C3Cc4ccc(O)c5c4C2(CCN3)C1O5	CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5	train
Cc1c(CC(=O)O)c2cc(O)ccc2n1C(=O)c1ccc(Cl)cc1	COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1	train
COc1ccc2c(c1)c(CC(=O)OC1OC(C(=O)O)C(O)C(O)C1O)c(C)n2C(=O)c1ccc(Cl)cc1	COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1	train
COc1ccc2[nH]c(C)c(CC(=O)O)c2c1	COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1	train
CC(C)[N+]1(C)C2CCC1CC(OC(=O)Cc1ccccc1)C2	CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2	train
C=C(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1	CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2	train
CC(C)[N+]1(C)C2CCC1CC(O)C2	CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2	train
O=C(O)Cc1ccccc1	CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2	train
Cc1cc2c(s1)Nc1ccc(O)cc1N=C2N1CCN(C)CC1	Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1	train
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCNCC1	Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1	train
CN1CCN(C2=Nc3ccccc3Nc3sc(CO)cc32)CC1	Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1	train
