products	reactants	set
CC(=O)CC(c1ccccc1)c1c(O)c2cccc(OC3OC(C(=O)O)C(O)C(O)C3O)c2oc1=O	CC(=O)CC(c1ccccc1)c1c(O)c2cccc(O)c2oc1=O	train
CC(C)(C)OS(=O)(=O)O	CC(C)(C)O	train
COc1ccc2c(c1)c(CCNC(C)=O)cn2C1OC(C(=O)O)C(O)C(O)C1O	COc1ccc2[nH]cc(CCNC(C)=O)c2c1	train
O=C(O)C1OC(Oc2ccc([N+](=O)[O-])cc2)C(O)C(O)C1O	O=[N+]([O-])c1ccc(O)cc1	train
Cc1cc(CC(=O)OC2OC(C(=O)O)C(O)C(O)C2O)n(C)c1C(=O)c1ccc(Cl)cc1	Cc1cc(CC(=O)O)n(C)c1C(=O)c1ccc(Cl)cc1	train
CC(=O)Nc1ccc(O)c(O)c1	CC(=O)Nc1ccc(O)cc1	train
O=C(NN1CC2CCCC2C1)NS(=O)(=O)c1ccc(CO)cc1	Cc1ccc(S(=O)(=O)NC(=O)NN2CC3CCCC3C2)cc1	train
C[N+](C)(CCCN1c2ccccc2Sc2ccc(Cl)cc21)C1OC(C(=O)O)C(O)C(O)C1O	CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21	train
OCc1ccc(O)cc1	Cc1ccc(O)cc1	train
CC=C1CC(C)C(C)(O)C(=O)OCC2=CC[N+]3([O-])CCC(OC1=O)C23	CC=C1CC(C)C(C)(O)C(=O)OCC2=CCN3CCC(OC1=O)C23	train
Cc1nc2c(c(=O)n(C)c(=O)n2Cc2ccc(O)o2)n1C	Cc1nc2c(c(=O)n(C)c(=O)n2Cc2ccco2)n1C	train
CC(C)c1cc(O)cc(C(C)C)c1OC1OC(C(=O)O)C(O)C(O)C1O	CC(C)c1cc(O)cc(C(C)C)c1O	train
Cc1ccc(O)cc1	Cc1ccccc1	train
